Number of Stops,Stops,Wheat Delivered (kg)
2,"20,53",53
3,"1,20,53",53
3,"2,20,53",53
3,"3,20,53",53
3,"4,20,53",53
3,"5,20,53",53
3,"6,20,53",53
3,"7,20,53",53
3,"8,20,53",53
3,"9,20,53",53
3,"20,53,87",53
3,"20,53,88",53
3,"20,53,89",53
3,"20,53,90",53
3,"20,53,91",53
3,"20,53,92",53
3,"20,53,93",53
3,"20,53,94",53
3,"20,53,95",53
3,"20,53,96",53
3,"20,53,97",53
3,"20,53,98",53
3,"20,53,99",53
4,"1,3,20,53",53
4,"1,4,20,53",53
4,"1,5,20,53",53
4,"1,6,20,53",53
4,"1,7,20,53",53
4,"1,8,20,53",53
4,"1,9,20,53",53
4,"1,10,20,53",53
4,"1,20,53,87",53
4,"1,20,53,88",53
4,"1,20,53,89",53
4,"1,20,53,90",53
4,"1,20,53,91",53
4,"1,20,53,92",53
4,"1,20,53,93",53
4,"1,20,53,94",53
4,"1,20,53,95",53
4,"1,20,53,96",53
4,"1,20,53,97",53
4,"1,20,53,98",53
4,"1,20,53,99",53
4,"2,5,20,53",53
4,"2,6,20,53",53
4,"2,7,20,53",53
4,"2,8,20,53",53
4,"2,9,20,53",53
4,"2,10,20,53",53
4,"2,20,53,87",53
4,"2,20,53,88",53
4,"2,20,53,89",53
4,"2,20,53,90",53
4,"2,20,53,91",53
4,"2,20,53,92",53
4,"2,20,53,93",53
4,"2,20,53,94",53
4,"2,20,53,95",53
4,"2,20,53,96",53
4,"2,20,53,97",53
4,"2,20,53,98",53
4,"2,20,53,99",53
4,"3,7,20,53",53
4,"3,8,20,53",53
4,"3,9,20,53",53
4,"3,10,20,53",53
4,"3,11,20,53",53
4,"3,20,53,87",53
4,"3,20,53,88",53
4,"3,20,53,89",53
4,"3,20,53,90",53
4,"3,20,53,91",53
4,"3,20,53,92",53
4,"3,20,53,93",53
4,"3,20,53,94",53
4,"3,20,53,95",53
4,"3,20,53,96",53
4,"3,20,53,97",53
4,"3,20,53,98",53
4,"3,20,53,99",53
4,"4,9,20,53",53
4,"4,10,20,53",53
4,"4,11,20,53",53
4,"4,20,53,87",53
4,"4,20,53,88",53
4,"4,20,53,89",53
4,"4,20,53,90",53
4,"4,20,53,91",53
4,"4,20,53,92",53
4,"4,20,53,93",53
4,"4,20,53,94",53
4,"4,20,53,95",53
4,"4,20,53,96",53
4,"4,20,53,97",53
4,"4,20,53,98",53
4,"4,20,53,99",53
4,"5,11,20,53",53
4,"5,12,20,53",53
4,"5,20,36,53",53
4,"5,20,53,87",53
4,"5,20,53,88",53
4,"5,20,53,89",53
4,"5,20,53,90",53
4,"5,20,53,91",53
4,"5,20,53,92",53
4,"5,20,53,93",53
4,"5,20,53,94",53
4,"5,20,53,95",53
4,"5,20,53,96",53
4,"5,20,53,97",53
4,"5,20,53,98",53
4,"5,20,53,99",53
4,"6,20,35,53",53
4,"6,20,36,53",53
4,"6,20,53,87",53
4,"6,20,53,88",53
4,"6,20,53,89",53
4,"6,20,53,90",53
4,"6,20,53,91",53
4,"6,20,53,92",53
4,"6,20,53,93",53
4,"6,20,53,94",53
4,"6,20,53,95",53
4,"6,20,53,96",53
4,"6,20,53,97",53
4,"6,20,53,98",53
4,"6,20,53,99",53
4,"7,20,34,53",53
4,"7,20,35,53",53
4,"7,20,36,53",53
4,"7,20,53,87",53
4,"7,20,53,88",53
4,"7,20,53,89",53
4,"7,20,53,90",53
4,"7,20,53,91",53
4,"7,20,53,92",53
4,"7,20,53,93",53
4,"7,20,53,94",53
4,"7,20,53,95",53
4,"7,20,53,96",53
4,"7,20,53,97",53
4,"7,20,53,98",53
4,"7,20,53,99",53
4,"8,20,33,53",53
4,"8,20,34,53",53
4,"8,20,35,53",53
4,"8,20,36,53",53
4,"8,20,53,87",53
4,"8,20,53,88",53
4,"8,20,53,89",53
4,"8,20,53,90",53
4,"8,20,53,91",53
4,"8,20,53,92",53
4,"8,20,53,93",53
4,"8,20,53,94",53
4,"8,20,53,95",53
4,"8,20,53,96",53
4,"8,20,53,97",53
4,"8,20,53,98",53
4,"8,20,53,99",53
4,"9,20,32,53",53
4,"9,20,33,53",53
4,"9,20,34,53",53
4,"9,20,35,53",53
4,"9,20,36,53",53
4,"9,20,53,87",53
4,"9,20,53,88",53
4,"9,20,53,89",53
4,"9,20,53,90",53
4,"9,20,53,91",53
4,"9,20,53,92",53
4,"9,20,53,93",53
4,"9,20,53,94",53
4,"9,20,53,95",53
4,"9,20,53,96",53
4,"9,20,53,97",53
4,"9,20,53,98",53
4,"9,20,53,99",53
2,"19,52",52
2,"20,52",52
2,"20,54",52
2,"21,52",52
2,"21,53",52
2,"22,52",52
3,"1,19,52",52
3,"1,20,52",52
3,"1,20,54",52
3,"1,21,52",52
3,"1,21,53",52
3,"1,22,52",52
3,"2,19,52",52
3,"2,20,52",52
3,"2,20,54",52
3,"2,21,52",52
3,"2,21,53",52
3,"2,22,52",52
3,"3,19,52",52
3,"3,20,52",52
3,"3,20,54",52
3,"3,21,52",52
3,"3,21,53",52
3,"3,22,52",52
3,"4,19,52",52
3,"4,20,52",52
3,"4,20,54",52
3,"4,21,52",52
3,"4,21,53",52
3,"4,22,52",52
3,"5,19,52",52
3,"5,20,52",52
3,"5,20,54",52
3,"5,21,52",52
3,"5,21,53",52
3,"5,22,52",52
3,"6,19,52",52
3,"6,20,52",52
3,"6,20,54",52
3,"6,21,52",52
3,"6,21,53",52
3,"6,22,52",52
3,"7,19,52",52
3,"7,20,52",52
3,"7,20,54",52
3,"7,21,52",52
3,"7,21,53",52
3,"7,22,52",52
3,"8,19,52",52
3,"8,20,52",52
3,"8,20,54",52
3,"8,21,52",52
3,"8,21,53",52
3,"8,22,52",52
3,"9,19,52",52
3,"9,20,52",52
3,"9,20,54",52
3,"9,21,52",52
3,"9,21,53",52
3,"9,22,52",52
3,"10,21,52",52
3,"10,21,53",52
3,"10,22,52",52
3,"19,52,86",52
3,"19,52,87",52
3,"19,52,88",52
3,"19,52,89",52
3,"19,52,90",52
3,"19,52,91",52
3,"19,52,92",52
3,"19,52,93",52
3,"19,52,94",52
3,"19,52,95",52
3,"19,52,96",52
3,"19,52,97",52
3,"19,52,98",52
3,"19,52,99",52
3,"20,52,85",52
3,"20,52,86",52
3,"20,52,87",52
3,"20,52,88",52
3,"20,52,89",52
3,"20,52,90",52
3,"20,52,91",52
3,"20,52,92",52
3,"20,52,93",52
3,"20,52,94",52
3,"20,52,95",52
3,"20,52,96",52
3,"20,52,97",52
3,"20,52,98",52
3,"20,52,99",52
3,"20,54,89",52
3,"20,54,90",52
3,"20,54,91",52
3,"20,54,92",52
3,"20,54,93",52
3,"20,54,94",52
3,"20,54,95",52
3,"20,54,96",52
3,"20,54,97",52
3,"20,54,98",52
3,"20,54,99",52
3,"21,52,84",52
3,"21,52,85",52
3,"21,52,86",52
3,"21,52,87",52
3,"21,52,88",52
3,"21,52,89",52
3,"21,52,90",52
3,"21,52,91",52
3,"21,52,92",52
3,"21,52,93",52
3,"21,52,94",52
3,"21,52,95",52
3,"21,52,96",52
3,"21,52,97",52
3,"21,52,98",52
3,"21,52,99",52
3,"21,53,86",52
3,"21,53,87",52
3,"21,53,88",52
3,"21,53,89",52
3,"21,53,90",52
3,"21,53,91",52
3,"21,53,92",52
3,"21,53,93",52
3,"21,53,94",52
3,"21,53,95",52
3,"21,53,96",52
3,"21,53,97",52
3,"21,53,98",52
3,"21,53,99",52
3,"22,52,83",52
3,"22,52,84",52
3,"22,52,85",52
3,"22,52,86",52
3,"22,52,87",52
3,"22,52,88",52
3,"22,52,89",52
3,"22,52,90",52
3,"22,52,91",52
3,"22,52,92",52
3,"22,52,93",52
3,"22,52,94",52
3,"22,52,95",52
3,"22,52,96",52
3,"22,52,97",52
3,"22,52,98",52
3,"22,52,99",52
4,"1,3,19,52",52
4,"1,3,20,52",52
4,"1,3,20,54",52
4,"1,3,21,52",52
4,"1,3,21,53",52
4,"1,3,22,52",52
4,"1,4,19,52",52
4,"1,4,20,52",52
4,"1,4,20,54",52
4,"1,4,21,52",52
4,"1,4,21,53",52
4,"1,4,22,52",52
4,"1,5,19,52",52
4,"1,5,20,52",52
4,"1,5,20,54",52
4,"1,5,21,52",52
4,"1,5,21,53",52
4,"1,5,22,52",52
4,"1,6,19,52",52
4,"1,6,20,52",52
4,"1,6,20,54",52
4,"1,6,21,52",52
4,"1,6,21,53",52
4,"1,6,22,52",52
4,"1,7,19,52",52
4,"1,7,20,52",52
4,"1,7,20,54",52
4,"1,7,21,52",52
4,"1,7,21,53",52
4,"1,7,22,52",52
4,"1,8,19,52",52
4,"1,8,20,52",52
4,"1,8,20,54",52
4,"1,8,21,52",52
4,"1,8,21,53",52
4,"1,8,22,52",52
4,"1,9,19,52",52
4,"1,9,20,52",52
4,"1,9,20,54",52
4,"1,9,21,52",52
4,"1,9,21,53",52
4,"1,9,22,52",52
4,"1,10,20,52",52
4,"1,10,20,54",52
4,"1,10,21,52",52
4,"1,10,21,53",52
4,"1,10,22,52",52
4,"1,11,22,52",52
4,"1,19,52,86",52
4,"1,19,52,87",52
4,"1,19,52,88",52
4,"1,19,52,89",52
4,"1,19,52,90",52
4,"1,19,52,91",52
4,"1,19,52,92",52
4,"1,19,52,93",52
4,"1,19,52,94",52
4,"1,19,52,95",52
4,"1,19,52,96",52
4,"1,19,52,97",52
4,"1,19,52,98",52
4,"1,19,52,99",52
4,"1,20,52,85",52
4,"1,20,52,86",52
4,"1,20,52,87",52
4,"1,20,52,88",52
4,"1,20,52,89",52
4,"1,20,52,90",52
4,"1,20,52,91",52
4,"1,20,52,92",52
4,"1,20,52,93",52
4,"1,20,52,94",52
4,"1,20,52,95",52
4,"1,20,52,96",52
4,"1,20,52,97",52
4,"1,20,52,98",52
4,"1,20,52,99",52
4,"1,20,54,89",52
4,"1,20,54,90",52
4,"1,20,54,91",52
4,"1,20,54,92",52
4,"1,20,54,93",52
4,"1,20,54,94",52
4,"1,20,54,95",52
4,"1,20,54,96",52
4,"1,20,54,97",52
4,"1,20,54,98",52
4,"1,20,54,99",52
4,"1,21,52,84",52
4,"1,21,52,85",52
4,"1,21,52,86",52
4,"1,21,52,87",52
4,"1,21,52,88",52
4,"1,21,52,89",52
4,"1,21,52,90",52
4,"1,21,52,91",52
4,"1,21,52,92",52
4,"1,21,52,93",52
4,"1,21,52,94",52
4,"1,21,52,95",52
4,"1,21,52,96",52
4,"1,21,52,97",52
4,"1,21,52,98",52
4,"1,21,52,99",52
4,"1,21,53,86",52
4,"1,21,53,87",52
4,"1,21,53,88",52
4,"1,21,53,89",52
4,"1,21,53,90",52
4,"1,21,53,91",52
4,"1,21,53,92",52
4,"1,21,53,93",52
4,"1,21,53,94",52
4,"1,21,53,95",52
4,"1,21,53,96",52
4,"1,21,53,97",52
4,"1,21,53,98",52
4,"1,21,53,99",52
4,"1,22,52,83",52
4,"1,22,52,84",52
4,"1,22,52,85",52
4,"1,22,52,86",52
4,"1,22,52,87",52
4,"1,22,52,88",52
4,"1,22,52,89",52
4,"1,22,52,90",52
4,"1,22,52,91",52
4,"1,22,52,92",52
4,"1,22,52,93",52
4,"1,22,52,94",52
4,"1,22,52,95",52
4,"1,22,52,96",52
4,"1,22,52,97",52
4,"1,22,52,98",52
4,"1,22,52,99",52
4,"2,5,19,52",52
4,"2,5,20,52",52
4,"2,5,20,54",52
4,"2,5,21,52",52
4,"2,5,21,53",52
4,"2,5,22,52",52
4,"2,6,19,52",52
4,"2,6,20,52",52
4,"2,6,20,54",52
4,"2,6,21,52",52
4,"2,6,21,53",52
4,"2,6,22,52",52
4,"2,7,19,52",52
4,"2,7,20,52",52
4,"2,7,20,54",52
4,"2,7,21,52",52
4,"2,7,21,53",52
4,"2,7,22,52",52
4,"2,8,19,52",52
4,"2,8,20,52",52
4,"2,8,20,54",52
4,"2,8,21,52",52
4,"2,8,21,53",52
4,"2,8,22,52",52
4,"2,9,19,52",52
4,"2,9,20,52",52
4,"2,9,20,54",52
4,"2,9,21,52",52
4,"2,9,21,53",52
4,"2,9,22,52",52
4,"2,10,19,52",52
4,"2,10,20,52",52
4,"2,10,20,54",52
4,"2,10,21,52",52
4,"2,10,21,53",52
4,"2,10,22,52",52
4,"2,11,21,52",52
4,"2,11,21,53",52
4,"2,11,22,52",52
4,"2,19,52,86",52
4,"2,19,52,87",52
4,"2,19,52,88",52
4,"2,19,52,89",52
4,"2,19,52,90",52
4,"2,19,52,91",52
4,"2,19,52,92",52
4,"2,19,52,93",52
4,"2,19,52,94",52
4,"2,19,52,95",52
4,"2,19,52,96",52
4,"2,19,52,97",52
4,"2,19,52,98",52
4,"2,19,52,99",52
4,"2,20,52,85",52
4,"2,20,52,86",52
4,"2,20,52,87",52
4,"2,20,52,88",52
4,"2,20,52,89",52
4,"2,20,52,90",52
4,"2,20,52,91",52
4,"2,20,52,92",52
4,"2,20,52,93",52
4,"2,20,52,94",52
4,"2,20,52,95",52
4,"2,20,52,96",52
4,"2,20,52,97",52
4,"2,20,52,98",52
4,"2,20,52,99",52
4,"2,20,54,89",52
4,"2,20,54,90",52
4,"2,20,54,91",52
4,"2,20,54,92",52
4,"2,20,54,93",52
4,"2,20,54,94",52
4,"2,20,54,95",52
4,"2,20,54,96",52
4,"2,20,54,97",52
4,"2,20,54,98",52
4,"2,20,54,99",52
4,"2,21,52,84",52
4,"2,21,52,85",52
4,"2,21,52,86",52
4,"2,21,52,87",52
4,"2,21,52,88",52
4,"2,21,52,89",52
4,"2,21,52,90",52
4,"2,21,52,91",52
4,"2,21,52,92",52
4,"2,21,52,93",52
4,"2,21,52,94",52
4,"2,21,52,95",52
4,"2,21,52,96",52
4,"2,21,52,97",52
4,"2,21,52,98",52
4,"2,21,52,99",52
4,"2,21,53,86",52
4,"2,21,53,87",52
4,"2,21,53,88",52
4,"2,21,53,89",52
4,"2,21,53,90",52
4,"2,21,53,91",52
4,"2,21,53,92",52
4,"2,21,53,93",52
4,"2,21,53,94",52
4,"2,21,53,95",52
4,"2,21,53,96",52
4,"2,21,53,97",52
4,"2,21,53,98",52
4,"2,21,53,99",52
4,"2,22,52,83",52
4,"2,22,52,84",52
4,"2,22,52,85",52
4,"2,22,52,86",52
4,"2,22,52,87",52
4,"2,22,52,88",52
4,"2,22,52,89",52
4,"2,22,52,90",52
4,"2,22,52,91",52
4,"2,22,52,92",52
4,"2,22,52,93",52
4,"2,22,52,94",52
4,"2,22,52,95",52
4,"2,22,52,96",52
4,"2,22,52,97",52
4,"2,22,52,98",52
4,"2,22,52,99",52
4,"3,7,19,52",52
4,"3,7,20,52",52
4,"3,7,20,54",52
4,"3,7,21,52",52
4,"3,7,21,53",52
4,"3,7,22,52",52
4,"3,8,19,52",52
4,"3,8,20,52",52
4,"3,8,20,54",52
4,"3,8,21,52",52
4,"3,8,21,53",52
4,"3,8,22,52",52
4,"3,9,19,52",52
4,"3,9,20,52",52
4,"3,9,20,54",52
4,"3,9,21,52",52
4,"3,9,21,53",52
4,"3,9,22,52",52
4,"3,10,19,52",52
4,"3,10,20,52",52
4,"3,10,20,54",52
4,"3,10,21,52",52
4,"3,10,21,53",52
4,"3,10,22,52",52
4,"3,11,20,52",52
4,"3,11,20,54",52
4,"3,11,21,52",52
4,"3,11,21,53",52
4,"3,11,22,52",52
4,"3,12,22,52",52
4,"3,19,52,86",52
4,"3,19,52,87",52
4,"3,19,52,88",52
4,"3,19,52,89",52
4,"3,19,52,90",52
4,"3,19,52,91",52
4,"3,19,52,92",52
4,"3,19,52,93",52
4,"3,19,52,94",52
4,"3,19,52,95",52
4,"3,19,52,96",52
4,"3,19,52,97",52
4,"3,19,52,98",52
4,"3,19,52,99",52
4,"3,20,52,85",52
4,"3,20,52,86",52
4,"3,20,52,87",52
4,"3,20,52,88",52
4,"3,20,52,89",52
4,"3,20,52,90",52
4,"3,20,52,91",52
4,"3,20,52,92",52
4,"3,20,52,93",52
4,"3,20,52,94",52
4,"3,20,52,95",52
4,"3,20,52,96",52
4,"3,20,52,97",52
4,"3,20,52,98",52
4,"3,20,52,99",52
4,"3,20,54,89",52
4,"3,20,54,90",52
4,"3,20,54,91",52
4,"3,20,54,92",52
4,"3,20,54,93",52
4,"3,20,54,94",52
4,"3,20,54,95",52
4,"3,20,54,96",52
4,"3,20,54,97",52
4,"3,20,54,98",52
4,"3,20,54,99",52
4,"3,21,52,84",52
4,"3,21,52,85",52
4,"3,21,52,86",52
4,"3,21,52,87",52
4,"3,21,52,88",52
4,"3,21,52,89",52
4,"3,21,52,90",52
4,"3,21,52,91",52
4,"3,21,52,92",52
4,"3,21,52,93",52
4,"3,21,52,94",52
4,"3,21,52,95",52
4,"3,21,52,96",52
4,"3,21,52,97",52
4,"3,21,52,98",52
4,"3,21,52,99",52
4,"3,21,53,86",52
4,"3,21,53,87",52
4,"3,21,53,88",52
4,"3,21,53,89",52
4,"3,21,53,90",52
4,"3,21,53,91",52
4,"3,21,53,92",52
4,"3,21,53,93",52
4,"3,21,53,94",52
4,"3,21,53,95",52
4,"3,21,53,96",52
4,"3,21,53,97",52
4,"3,21,53,98",52
4,"3,21,53,99",52
4,"3,22,52,83",52
4,"3,22,52,84",52
4,"3,22,52,85",52
4,"3,22,52,86",52
4,"3,22,52,87",52
4,"3,22,52,88",52
4,"3,22,52,89",52
4,"3,22,52,90",52
4,"3,22,52,91",52
4,"3,22,52,92",52
4,"3,22,52,93",52
4,"3,22,52,94",52
4,"3,22,52,95",52
4,"3,22,52,96",52
4,"3,22,52,97",52
4,"3,22,52,98",52
4,"3,22,52,99",52
4,"4,9,19,52",52
4,"4,9,20,52",52
4,"4,9,20,54",52
4,"4,9,21,52",52
4,"4,9,21,53",52
4,"4,9,22,52",52
4,"4,10,19,52",52
4,"4,10,20,52",52
4,"4,10,20,54",52
4,"4,10,21,52",52
4,"4,10,21,53",52
4,"4,10,22,52",52
4,"4,11,19,52",52
4,"4,11,20,52",52
4,"4,11,20,54",52
4,"4,11,21,52",52
4,"4,11,21,53",52
4,"4,11,22,52",52
4,"4,12,21,52",52
4,"4,12,21,53",52
4,"4,12,22,52",52
4,"4,19,35,52",52
4,"4,19,52,86",52
4,"4,19,52,87",52
4,"4,19,52,88",52
4,"4,19,52,89",52
4,"4,19,52,90",52
4,"4,19,52,91",52
4,"4,19,52,92",52
4,"4,19,52,93",52
4,"4,19,52,94",52
4,"4,19,52,95",52
4,"4,19,52,96",52
4,"4,19,52,97",52
4,"4,19,52,98",52
4,"4,19,52,99",52
4,"4,20,52,85",52
4,"4,20,52,86",52
4,"4,20,52,87",52
4,"4,20,52,88",52
4,"4,20,52,89",52
4,"4,20,52,90",52
4,"4,20,52,91",52
4,"4,20,52,92",52
4,"4,20,52,93",52
4,"4,20,52,94",52
4,"4,20,52,95",52
4,"4,20,52,96",52
4,"4,20,52,97",52
4,"4,20,52,98",52
4,"4,20,52,99",52
4,"4,20,54,89",52
4,"4,20,54,90",52
4,"4,20,54,91",52
4,"4,20,54,92",52
4,"4,20,54,93",52
4,"4,20,54,94",52
4,"4,20,54,95",52
4,"4,20,54,96",52
4,"4,20,54,97",52
4,"4,20,54,98",52
4,"4,20,54,99",52
4,"4,21,52,84",52
4,"4,21,52,85",52
4,"4,21,52,86",52
4,"4,21,52,87",52
4,"4,21,52,88",52
4,"4,21,52,89",52
4,"4,21,52,90",52
4,"4,21,52,91",52
4,"4,21,52,92",52
4,"4,21,52,93",52
4,"4,21,52,94",52
4,"4,21,52,95",52
4,"4,21,52,96",52
4,"4,21,52,97",52
4,"4,21,52,98",52
4,"4,21,52,99",52
4,"4,21,53,86",52
4,"4,21,53,87",52
4,"4,21,53,88",52
4,"4,21,53,89",52
4,"4,21,53,90",52
4,"4,21,53,91",52
4,"4,21,53,92",52
4,"4,21,53,93",52
4,"4,21,53,94",52
4,"4,21,53,95",52
4,"4,21,53,96",52
4,"4,21,53,97",52
4,"4,21,53,98",52
4,"4,21,53,99",52
4,"4,22,52,83",52
4,"4,22,52,84",52
4,"4,22,52,85",52
4,"4,22,52,86",52
4,"4,22,52,87",52
4,"4,22,52,88",52
4,"4,22,52,89",52
4,"4,22,52,90",52
4,"4,22,52,91",52
4,"4,22,52,92",52
4,"4,22,52,93",52
4,"4,22,52,94",52
4,"4,22,52,95",52
4,"4,22,52,96",52
4,"4,22,52,97",52
4,"4,22,52,98",52
4,"4,22,52,99",52
4,"5,11,19,52",52
4,"5,11,20,52",52
4,"5,11,20,54",52
4,"5,11,21,52",52
4,"5,11,21,53",52
4,"5,11,22,52",52
4,"5,12,20,52",52
4,"5,12,20,54",52
4,"5,12,21,52",52
4,"5,12,21,53",52
4,"5,12,22,52",52
4,"5,13,22,52",52
4,"5,19,34,52",52
4,"5,19,35,52",52
4,"5,19,52,86",52
4,"5,19,52,87",52
4,"5,19,52,88",52
4,"5,19,52,89",52
4,"5,19,52,90",52
4,"5,19,52,91",52
4,"5,19,52,92",52
4,"5,19,52,93",52
4,"5,19,52,94",52
4,"5,19,52,95",52
4,"5,19,52,96",52
4,"5,19,52,97",52
4,"5,19,52,98",52
4,"5,19,52,99",52
4,"5,20,36,54",52
4,"5,20,52,85",52
4,"5,20,52,86",52
4,"5,20,52,87",52
4,"5,20,52,88",52
4,"5,20,52,89",52
4,"5,20,52,90",52
4,"5,20,52,91",52
4,"5,20,52,92",52
4,"5,20,52,93",52
4,"5,20,52,94",52
4,"5,20,52,95",52
4,"5,20,52,96",52
4,"5,20,52,97",52
4,"5,20,52,98",52
4,"5,20,52,99",52
4,"5,20,54,89",52
4,"5,20,54,90",52
4,"5,20,54,91",52
4,"5,20,54,92",52
4,"5,20,54,93",52
4,"5,20,54,94",52
4,"5,20,54,95",52
4,"5,20,54,96",52
4,"5,20,54,97",52
4,"5,20,54,98",52
4,"5,20,54,99",52
4,"5,21,52,84",52
4,"5,21,52,85",52
4,"5,21,52,86",52
4,"5,21,52,87",52
4,"5,21,52,88",52
4,"5,21,52,89",52
4,"5,21,52,90",52
4,"5,21,52,91",52
4,"5,21,52,92",52
4,"5,21,52,93",52
4,"5,21,52,94",52
4,"5,21,52,95",52
4,"5,21,52,96",52
4,"5,21,52,97",52
4,"5,21,52,98",52
4,"5,21,52,99",52
4,"5,21,53,86",52
4,"5,21,53,87",52
4,"5,21,53,88",52
4,"5,21,53,89",52
4,"5,21,53,90",52
4,"5,21,53,91",52
4,"5,21,53,92",52
4,"5,21,53,93",52
4,"5,21,53,94",52
4,"5,21,53,95",52
4,"5,21,53,96",52
4,"5,21,53,97",52
4,"5,21,53,98",52
4,"5,21,53,99",52
4,"5,22,52,83",52
4,"5,22,52,84",52
4,"5,22,52,85",52
4,"5,22,52,86",52
4,"5,22,52,87",52
4,"5,22,52,88",52
4,"5,22,52,89",52
4,"5,22,52,90",52
4,"5,22,52,91",52
4,"5,22,52,92",52
4,"5,22,52,93",52
4,"5,22,52,94",52
4,"5,22,52,95",52
4,"5,22,52,96",52
4,"5,22,52,97",52
4,"5,22,52,98",52
4,"5,22,52,99",52
4,"6,13,21,52",52
4,"6,13,21,53",52
4,"6,13,22,52",52
4,"6,19,33,52",52
4,"6,19,34,52",52
4,"6,19,35,52",52
4,"6,19,52,86",52
4,"6,19,52,87",52
4,"6,19,52,88",52
4,"6,19,52,89",52
4,"6,19,52,90",52
4,"6,19,52,91",52
4,"6,19,52,92",52
4,"6,19,52,93",52
4,"6,19,52,94",52
4,"6,19,52,95",52
4,"6,19,52,96",52
4,"6,19,52,97",52
4,"6,19,52,98",52
4,"6,19,52,99",52
4,"6,20,35,52",52
4,"6,20,35,54",52
4,"6,20,36,54",52
4,"6,20,52,85",52
4,"6,20,52,86",52
4,"6,20,52,87",52
4,"6,20,52,88",52
4,"6,20,52,89",52
4,"6,20,52,90",52
4,"6,20,52,91",52
4,"6,20,52,92",52
4,"6,20,52,93",52
4,"6,20,52,94",52
4,"6,20,52,95",52
4,"6,20,52,96",52
4,"6,20,52,97",52
4,"6,20,52,98",52
4,"6,20,52,99",52
4,"6,20,54,89",52
4,"6,20,54,90",52
4,"6,20,54,91",52
4,"6,20,54,92",52
4,"6,20,54,93",52
4,"6,20,54,94",52
4,"6,20,54,95",52
4,"6,20,54,96",52
4,"6,20,54,97",52
4,"6,20,54,98",52
4,"6,20,54,99",52
4,"6,21,52,84",52
4,"6,21,52,85",52
4,"6,21,52,86",52
4,"6,21,52,87",52
4,"6,21,52,88",52
4,"6,21,52,89",52
4,"6,21,52,90",52
4,"6,21,52,91",52
4,"6,21,52,92",52
4,"6,21,52,93",52
4,"6,21,52,94",52
4,"6,21,52,95",52
4,"6,21,52,96",52
4,"6,21,52,97",52
4,"6,21,52,98",52
4,"6,21,52,99",52
4,"6,21,53,86",52
4,"6,21,53,87",52
4,"6,21,53,88",52
4,"6,21,53,89",52
4,"6,21,53,90",52
4,"6,21,53,91",52
4,"6,21,53,92",52
4,"6,21,53,93",52
4,"6,21,53,94",52
4,"6,21,53,95",52
4,"6,21,53,96",52
4,"6,21,53,97",52
4,"6,21,53,98",52
4,"6,21,53,99",52
4,"6,22,52,83",52
4,"6,22,52,84",52
4,"6,22,52,85",52
4,"6,22,52,86",52
4,"6,22,52,87",52
4,"6,22,52,88",52
4,"6,22,52,89",52
4,"6,22,52,90",52
4,"6,22,52,91",52
4,"6,22,52,92",52
4,"6,22,52,93",52
4,"6,22,52,94",52
4,"6,22,52,95",52
4,"6,22,52,96",52
4,"6,22,52,97",52
4,"6,22,52,98",52
4,"6,22,52,99",52
4,"7,19,32,52",52
4,"7,19,33,52",52
4,"7,19,34,52",52
4,"7,19,35,52",52
4,"7,19,52,86",52
4,"7,19,52,87",52
4,"7,19,52,88",52
4,"7,19,52,89",52
4,"7,19,52,90",52
4,"7,19,52,91",52
4,"7,19,52,92",52
4,"7,19,52,93",52
4,"7,19,52,94",52
4,"7,19,52,95",52
4,"7,19,52,96",52
4,"7,19,52,97",52
4,"7,19,52,98",52
4,"7,19,52,99",52
4,"7,20,34,52",52
4,"7,20,34,54",52
4,"7,20,35,52",52
4,"7,20,35,54",52
4,"7,20,36,54",52
4,"7,20,52,85",52
4,"7,20,52,86",52
4,"7,20,52,87",52
4,"7,20,52,88",52
4,"7,20,52,89",52
4,"7,20,52,90",52
4,"7,20,52,91",52
4,"7,20,52,92",52
4,"7,20,52,93",52
4,"7,20,52,94",52
4,"7,20,52,95",52
4,"7,20,52,96",52
4,"7,20,52,97",52
4,"7,20,52,98",52
4,"7,20,52,99",52
4,"7,20,54,89",52
4,"7,20,54,90",52
4,"7,20,54,91",52
4,"7,20,54,92",52
4,"7,20,54,93",52
4,"7,20,54,94",52
4,"7,20,54,95",52
4,"7,20,54,96",52
4,"7,20,54,97",52
4,"7,20,54,98",52
4,"7,20,54,99",52
4,"7,21,36,52",52
4,"7,21,36,53",52
4,"7,21,52,84",52
4,"7,21,52,85",52
4,"7,21,52,86",52
4,"7,21,52,87",52
4,"7,21,52,88",52
4,"7,21,52,89",52
4,"7,21,52,90",52
4,"7,21,52,91",52
4,"7,21,52,92",52
4,"7,21,52,93",52
4,"7,21,52,94",52
4,"7,21,52,95",52
4,"7,21,52,96",52
4,"7,21,52,97",52
4,"7,21,52,98",52
4,"7,21,52,99",52
4,"7,21,53,86",52
4,"7,21,53,87",52
4,"7,21,53,88",52
4,"7,21,53,89",52
4,"7,21,53,90",52
4,"7,21,53,91",52
4,"7,21,53,92",52
4,"7,21,53,93",52
4,"7,21,53,94",52
4,"7,21,53,95",52
4,"7,21,53,96",52
4,"7,21,53,97",52
4,"7,21,53,98",52
4,"7,21,53,99",52
4,"7,22,52,83",52
4,"7,22,52,84",52
4,"7,22,52,85",52
4,"7,22,52,86",52
4,"7,22,52,87",52
4,"7,22,52,88",52
4,"7,22,52,89",52
